 Complex refractive index= 1.300E+00 2.000E-03
 radius= 1.1086E-01 lambda= 2.1414E+05 x= 3.2528E-06

Qext=  1.4907E-08 Qsca=  1.0437E-23 Qabs=  1.4907E-08 <cos>= -0.0000E+00
                 Qbk =  1.2460E-24
  theta       S11           POL           S33           S34
   0.00   4.13696E-35  -0.00000E+00   4.13696E-35   0.00000E+00
   0.09   4.13695E-35   0.00000E+00   4.13695E-35   0.00000E+00
   0.18   4.13694E-35   0.00000E+00   4.13694E-35   0.00000E+00
   0.27   4.13691E-35   0.00000E+00   4.13691E-35   0.00000E+00
   0.36   4.13688E-35   0.00000E+00   4.13688E-35   0.00000E+00
   0.45   4.13683E-35   0.00000E+00   4.13683E-35   0.00000E+00
   0.54   4.13677E-35   0.00000E+00   4.13677E-35   0.00000E+00
   0.63   4.13671E-35   0.00000E+00   4.13671E-35   0.00000E+00
   0.72   4.13663E-35   0.00000E+00   4.13663E-35   0.00000E+00
   0.81   4.13654E-35   0.00000E+00   4.13654E-35   0.00000E+00
   0.90   4.13645E-35   0.00000E+00   4.13645E-35   0.00000E+00
   0.99   4.13634E-35   0.00000E+00   4.13634E-35   0.00000E+00
   1.08   4.13622E-35   0.00000E+00   4.13622E-35   0.00000E+00
   1.17   4.13610E-35   0.00000E+00   4.13610E-35   0.00000E+00
   1.26   4.13596E-35   0.00000E+00   4.13596E-35   0.00000E+00
   1.35   4.13581E-35   0.00000E+00   4.13581E-35   0.00000E+00
   1.44   4.13565E-35   3.16676E-04   4.13565E-35   0.00000E+00
   1.53   4.13548E-35   3.57528E-04   4.13548E-35   0.00000E+00
   1.62   4.13530E-35   4.00814E-04   4.13530E-35   0.00000E+00
   1.71   4.13512E-35   4.46638E-04   4.13511E-35   0.00000E+00
   1.80   4.13492E-35   4.94861E-04   4.13492E-35   0.00000E+00
   1.89   4.13471E-35   5.45555E-04   4.13471E-35   0.00000E+00
   1.98   4.13449E-35   5.98754E-04   4.13449E-35   0.00000E+00
   2.07   4.13426E-35   6.54425E-04   4.13426E-35   0.00000E+00
   2.16   4.13402E-35   7.12672E-04   4.13402E-35   0.00000E+00
